country,year,event.type,fatalities
Indonesia,2019,Riots,1
Indonesia,2019,Riots,1
Philippines,2019,Riots,2
Indonesia,2019,Riots,2
Indonesia,2019,Riots,2
Indonesia,2019,Riots,5
Indonesia,2019,Riots,33
Indonesia,2019,Riots,2
Philippines,2019,Riots,1
Indonesia,2019,Riots,9
Indonesia,2019,Riots,1
Indonesia,2019,Riots,1
Philippines,2019,Riots,1
Myanmar,2019,Riots,25
Indonesia,2019,Riots,1
Indonesia,2019,Riots,2
Indonesia,2019,Riots,1
Indonesia,2019,Riots,4
Indonesia,2019,Riots,8
Indonesia,2019,Riots,1
Myanmar,2019,Protests,4
Indonesia,2019,Riots,1
Thailand,2019,Riots,1
Indonesia,2019,Riots,2
Indonesia,2019,Riots,1
Indonesia,2019,Riots,1
Indonesia,2018,Riots,1
Malaysia,2018,Riots,1
Myanmar,2018,Riots,1
Indonesia,2018,Riots,3
Indonesia,2018,Riots,3
Indonesia,2018,Riots,1
Cambodia,2018,Riots,1
Indonesia,2018,Riots,1
Malaysia,2018,Riots,1
Indonesia,2018,Riots,2
Indonesia,2018,Riots,1
Myanmar,2018,Riots,1
Indonesia,2018,Protests,1
Indonesia,2018,Protests,1
Cambodia,2018,Protests,8
Indonesia,2018,Riots,2
Myanmar,2018,Riots,7
Indonesia,2018,Riots,1
Myanmar,2017,Riots,2
Myanmar,2017,Riots,1
Myanmar,2017,Riots,5
Indonesia,2017,Riots,1
Indonesia,2017,Riots,1
Cambodia,2017,Riots,1
Indonesia,2017,Riots,1
Myanmar,2017,Riots,1
Philippines,2017,Riots,2
Indonesia,2017,Riots,1
Indonesia,2016,Protests,1
Indonesia,2016,Riots,1
Indonesia,2016,Riots,4
Cambodia,2016,Riots,1
Thailand,2016,Riots,3
Philippines,2016,Protests,3
Thailand,2016,Riots,1
Philippines,2016,Riots,1
Philippines,2016,Riots,2
Indonesia,2016,Riots,2
Philippines,2016,Riots,2
Philippines,2016,Protests,1
Indonesia,2016,Riots,2
Indonesia,2015,Protests,1
Indonesia,2015,Riots,4
Indonesia,2015,Protests,4
Indonesia,2015,Riots,1
Indonesia,2015,Riots,1
Indonesia,2015,Riots,2
Indonesia,2015,Riots,1
Thailand,2015,Riots,1
Indonesia,2015,Riots,1
Indonesia,2015,Riots,2
Indonesia,2015,Riots,1
Indonesia,2015,Riots,1
Indonesia,2015,Riots,1
Myanmar,2014,Protests,1
Myanmar,2014,Riots,1
Myanmar,2014,Riots,1
Myanmar,2014,Riots,3
Myanmar,2014,Riots,2
Thailand,2014,Protests,3
Vietnam,2014,Riots,21
Cambodia,2014,Riots,1
Cambodia,2014,Riots,1
Thailand,2014,Protests,1
Myanmar,2014,Riots,1
Thailand,2014,Protests,3
Cambodia,2014,Riots,1
Cambodia,2014,Riots,1
Cambodia,2014,Riots,1
Thailand,2014,Protests,1
Cambodia,2014,Riots,4
Thailand,2013,Riots,2
Cambodia,2013,Riots,1
Myanmar,2013,Riots,2
Cambodia,2013,Riots,1
Myanmar,2013,Riots,2
Cambodia,2013,Riots,1
Thailand,2013,Protests,1
Myanmar,2013,Riots,2
Myanmar,2013,Riots,2
Myanmar,2013,Riots,3
Myanmar,2013,Riots,1
Myanmar,2013,Riots,2
Myanmar,2013,Riots,20
Myanmar,2013,Riots,18
Myanmar,2013,Riots,36
Myanmar,2013,Riots,2
Cambodia,2013,Riots,1
Myanmar,2013,Riots,1
Myanmar,2012,Protests,1
Cambodia,2012,Riots,1
Myanmar,2012,Riots,1
Myanmar,2012,Riots,3
Myanmar,2012,Riots,3
Myanmar,2012,Riots,3
Myanmar,2012,Riots,3
Myanmar,2012,Riots,1
Myanmar,2012,Riots,1
Myanmar,2012,Riots,2
Myanmar,2012,Riots,10
Cambodia,2011,Riots,1
Thailand,2011,Riots,1
Cambodia,2011,Riots,1
Vietnam,2011,Protests,14
Vietnam,2011,Protests,21
Vietnam,2011,Protests,28
Thailand,2010,Riots,1
Vietnam,2010,Protests,1
Vietnam,2010,Protests,2
Thailand,2010,Protests,6
Thailand,2010,Riots,2
Thailand,2010,Riots,1
Thailand,2010,Riots,1
Cambodia,2010,Riots,2
